time,gFx,gFy,gFz,TgF
0.00191724,-0.0953,0.7032,0.7217,1.012
0.002606563,-0.0953,0.7008,0.7198,1.009
0.002994063,-0.0969,0.6993,0.7212,1.009
0.003325313,-0.0964,0.7019,0.7192,1.010
0.003712448,-0.0964,0.7032,0.7187,1.010
0.011363021,-0.0961,0.7023,0.7175,1.009
0.012110938,-0.0945,0.7010,0.7187,1.008
0.012423021,-0.0952,0.7009,0.7187,1.008
0.01269698,-0.0958,0.7047,0.7178,1.010
0.014578855,-0.0947,0.7029,0.7178,1.009
0.023036511,-0.0966,0.7049,0.7157,1.009
0.023548802,-0.0962,0.7044,0.7157,1.009
0.023807969,-0.0958,0.7040,0.7149,1.008
0.023978438,-0.0947,0.7052,0.7149,1.009
0.02535474,-0.0928,0.7031,0.7141,1.006
0.028006354,-0.0933,0.7041,0.7140,1.007
0.030517813,-0.0916,0.7021,0.7148,1.006
0.034909792,-0.0910,0.7033,0.7123,1.005
0.037815417,-0.0905,0.7014,0.7135,1.005
0.039154896,-0.0933,0.7004,0.7119,1.003
0.041162813,-0.0928,0.7008,0.7097,1.002
0.043180104,-0.0921,0.6998,0.7114,1.002
0.046868698,-0.0918,0.6976,0.7097,0.999
0.048906771,-0.0895,0.6970,0.7101,0.999
0.054038021,-0.0896,0.6965,0.7090,0.998
0.054490261,-0.0866,0.6932,0.7079,0.995
0.055519636,-0.0864,0.6929,0.7090,0.995
0.058859896,-0.0867,0.6929,0.7108,0.996
0.061084636,-0.0857,0.6908,0.7120,0.996
0.063409011,-0.0810,0.6902,0.7135,0.996
0.07467625,-0.0807,0.6913,0.7153,0.998
0.075336094,-0.0812,0.6914,0.7173,1.000
0.075787292,-0.0806,0.6916,0.7193,1.001
0.076027292,-0.0820,0.6899,0.7219,1.002
0.076245157,-0.0815,0.6891,0.7254,1.004
0.07862599,-0.0812,0.6881,0.7254,1.003
0.089420782,-0.0817,0.6876,0.7272,1.004
0.090959636,-0.0809,0.6875,0.7281,1.005
0.093803542,-0.0813,0.6867,0.7303,1.006
0.094279115,-0.0806,0.6858,0.7296,1.005
0.094498438,-0.0801,0.6848,0.7311,1.005
0.094711511,-0.0795,0.6849,0.7317,1.005
0.094945157,-0.0791,0.6838,0.7357,1.008
0.103926511,-0.0793,0.6870,0.7373,1.011
0.104567448,-0.0790,0.6850,0.7404,1.012
0.104865365,-0.0801,0.6856,0.7396,1.012
0.105137709,-0.0809,0.6844,0.7384,1.010
0.106791511,-0.0799,0.6878,0.7384,1.012
0.109393073,-0.0802,0.6865,0.7356,1.009
0.111358594,-0.0809,0.6863,0.7338,1.008
0.113522604,-0.0807,0.6872,0.7308,1.006
0.12599849,-0.0824,0.6875,0.7306,1.007
0.126632344,-0.0817,0.6865,0.7270,1.003
0.126936407,-0.0802,0.6874,0.7252,1.002
0.127225261,-0.0798,0.6875,0.7223,1.000
0.127485157,-0.0796,0.6883,0.7207,1.000
0.129553854,-0.0770,0.6883,0.7167,0.997
0.131284688,-0.0770,0.6847,0.7151,0.993
0.136355104,-0.0771,0.6864,0.7119,0.992
0.136944792,-0.0760,0.6860,0.7114,0.991
0.138292032,-0.0770,0.6852,0.7108,0.990
0.140631198,-0.0725,0.6850,0.7076,0.988
0.143343698,-0.0720,0.6848,0.7075,0.987
0.145442084,-0.0714,0.6842,0.7049,0.985
0.152553594,-0.0701,0.6843,0.7037,0.984
0.153006875,-0.0675,0.6821,0.7011,0.981
0.15317474,-0.0674,0.6809,0.6993,0.978
